Distance,Value
-1.225000000000000089e+00,0.000000000000000000e+00
-1.174700000000000077e+00,0.000000000000000000e+00
-1.125410000000000021e+00,0.000000000000000000e+00
-1.077120000000000077e+00,0.000000000000000000e+00
-1.029809999999999892e+00,0.000000000000000000e+00
-9.834589999999999721e-01,0.000000000000000000e+00
-9.380420000000000424e-01,0.000000000000000000e+00
-8.935440000000000049e-01,0.000000000000000000e+00
-8.499459999999999793e-01,0.000000000000000000e+00
-8.072289999999999743e-01,0.000000000000000000e+00
-7.653769999999999740e-01,0.000000000000000000e+00
-7.243709999999999871e-01,0.000000000000000000e+00
-6.841939999999999689e-01,0.000000000000000000e+00
-6.448300000000000143e-01,0.000000000000000000e+00
-6.062619999999999676e-01,0.000000000000000000e+00
-5.684740000000000348e-01,0.000000000000000000e+00
-5.314510000000000067e-01,0.000000000000000000e+00
-4.951760000000000050e-01,0.000000000000000000e+00
-4.596350000000000158e-01,0.000000000000000000e+00
-4.248129999999999962e-01,0.000000000000000000e+00
-3.906950000000000145e-01,0.000000000000000000e+00
-3.572670000000000012e-01,0.000000000000000000e+00
-3.245149999999999979e-01,0.000000000000000000e+00
-2.924260000000000193e-01,0.000000000000000000e+00
-2.609859999999999958e-01,0.000000000000000000e+00
-2.301809999999999967e-01,0.000000000000000000e+00
-2.000000000000000111e-01,0.000000000000000000e+00
-1.678369999999999862e-01,0.000000000000000000e+00
-1.433989999999999987e-01,0.000000000000000000e+00
-1.248299999999999965e-01,0.000000000000000000e+00
-1.107210000000000000e-01,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00
-9.004810000000000592e-02,0.000000000000000000e+00
-8.054409999999999348e-02,0.000000000000000000e+00
-7.146790000000000087e-02,0.000000000000000000e+00
-6.280020000000000047e-02,0.000000000000000000e+00
-5.452259999999999746e-02,0.000000000000000000e+00
-4.661749999999999922e-02,0.000000000000000000e+00
-3.906830000000000025e-02,0.000000000000000000e+00
-3.185879999999999962e-02,0.000000000000000000e+00
-2.497370000000000145e-02,0.000000000000000000e+00
-1.839860000000000106e-02,0.000000000000000000e+00
-1.211940000000000066e-02,0.000000000000000000e+00
-6.122780000000000410e-03,0.000000000000000000e+00
-3.960740000000000029e-04,0.000000000000000000e+00
5.072890000000000038e-03,0.000000000000000000e+00
1.029569999999999964e-02,0.000000000000000000e+00
1.528350000000000021e-02,0.000000000000000000e+00
2.004670000000000063e-02,0.000000000000000000e+00
2.459559999999999871e-02,0.000000000000000000e+00
2.893980000000000163e-02,0.000000000000000000e+00
3.308839999999999698e-02,0.000000000000000000e+00
3.705030000000000129e-02,0.000000000000000000e+00
4.083389999999999936e-02,0.000000000000000000e+00
4.444719999999999921e-02,0.000000000000000000e+00
4.789790000000000020e-02,0.000000000000000000e+00
5.119329999999999714e-02,0.000000000000000000e+00
5.434039999999999704e-02,0.000000000000000000e+00
5.734580000000000233e-02,0.000000000000000000e+00
6.021590000000000276e-02,0.000000000000000000e+00
6.295689999999999620e-02,0.000000000000000000e+00
6.557449999999999390e-02,0.000000000000000000e+00
6.807430000000000425e-02,0.000000000000000000e+00
7.046159999999999923e-02,0.000000000000000000e+00
7.274139999999999773e-02,0.000000000000000000e+00
7.491870000000000474e-02,0.000000000000000000e+00
7.699789999999999413e-02,1.928650000000000041e-16
7.898360000000000103e-02,5.785960000000000049e-16
8.087990000000000457e-02,2.314390000000000123e-15
8.269079999999999486e-02,8.196779999999999847e-15
8.442030000000000367e-02,2.651900000000000040e-14
8.607190000000000674e-02,8.023199999999999579e-14
8.764909999999999368e-02,2.269060000000000027e-13
8.915539999999999576e-02,6.038619999999999567e-13
9.059390000000000498e-02,1.517270000000000057e-12
9.196759999999999657e-02,3.612369999999999884e-12
9.327950000000000130e-02,8.179140000000000629e-12
9.453240000000000254e-02,1.767030000000000075e-11
9.572890000000000565e-02,3.654129999999999819e-11
9.687149999999999928e-02,7.254730000000000289e-11
9.796269999999999978e-02,1.386659999999999893e-10
9.900480000000000391e-02,2.558299999999999841e-10
1.000000000000000056e-01,4.566550000000000118e-10
1.010019999999999946e-01,8.142409999999999803e-10
1.020319999999999977e-01,1.467429999999999967e-09
1.030910000000000021e-01,2.673820000000000182e-09
1.041789999999999938e-01,4.927460000000000270e-09
1.052970000000000017e-01,9.187549999999999773e-09
1.064459999999999990e-01,1.733950000000000118e-08
1.076259999999999994e-01,3.313690000000000207e-08
1.088400000000000062e-01,6.415109999999999533e-08
1.100860000000000033e-01,1.258589999999999890e-07
1.113679999999999948e-01,2.503310000000000199e-07
1.126849999999999935e-01,5.049270000000000320e-07
1.140380000000000005e-01,1.033109999999999965e-06
1.154280000000000028e-01,2.144679999999999852e-06
1.168570000000000025e-01,4.517889999999999700e-06
1.183260000000000006e-01,9.658250000000000236e-06
1.198349999999999971e-01,2.095330000000000147e-05
1.213859999999999939e-01,4.612800000000000288e-05
1.229800000000000060e-01,1.030309999999999966e-04
1.246180000000000065e-01,2.334319999999999971e-04
1.263009999999999966e-01,5.362669999999999937e-04
1.280300000000000049e-01,1.248460000000000064e-03
1.298080000000000067e-01,2.942409999999999904e-03
1.316350000000000020e-01,7.006390000000000361e-03
1.335119999999999918e-01,1.678309999999999871e-02
1.354410000000000058e-01,4.005469999999999864e-02
1.374229999999999896e-01,9.331109999999999405e-02
1.394610000000000016e-01,2.044590000000000019e-01
1.415540000000000131e-01,4.021440000000000015e-01
1.437060000000000004e-01,6.905390000000000139e-01
1.459169999999999912e-01,1.045139999999999958e+00
1.481889999999999874e-01,1.436979999999999924e+00
1.505239999999999911e-01,1.847660000000000080e+00
1.529240000000000044e-01,2.268390000000000128e+00
1.553900000000000003e-01,2.695600000000000218e+00
1.579240000000000088e-01,3.128179999999999961e+00
1.605280000000000040e-01,3.566240000000000077e+00
1.632039999999999880e-01,4.010779999999999568e+00
1.659539999999999904e-01,4.463779999999999859e+00
1.687809999999999866e-01,4.928619999999999557e+00
1.716850000000000043e-01,5.411019999999999719e+00
1.746699999999999919e-01,5.920689999999999564e+00
1.777370000000000061e-01,6.474450000000000038e+00
1.808889999999999942e-01,7.101980000000000182e+00
1.841279999999999861e-01,7.855299999999999727e+00
1.874570000000000125e-01,8.820449999999999235e+00
1.908779999999999921e-01,1.011619999999999919e+01
1.943940000000000112e-01,1.184880000000000067e+01
1.980069999999999886e-01,1.406119999999999948e+01
2.017190000000000094e-01,1.666250000000000142e+01
2.055349999999999955e-01,1.754029999999999845e+01
2.094550000000000023e-01,1.778689999999999927e+01
2.134850000000000081e-01,1.800880000000000081e+01
2.176250000000000129e-01,1.820420000000000016e+01
2.218809999999999949e-01,1.837049999999999983e+01
2.262530000000000097e-01,1.850489999999999924e+01
2.307470000000000077e-01,1.860470000000000113e+01
2.353649999999999909e-01,1.866659999999999897e+01
2.401109999999999911e-01,1.868730000000000047e+01
2.449880000000000113e-01,1.866329999999999956e+01
2.500000000000000000e-01,1.859080000000000155e+01
2.549930000000000252e-01,1.847040000000000148e+01
2.601049999999999751e-01,1.829720000000000013e+01
2.653380000000000183e-01,1.806769999999999854e+01
2.706950000000000189e-01,1.777799999999999869e+01
2.761799999999999811e-01,1.742399999999999949e+01
2.817959999999999909e-01,1.700130000000000052e+01
2.875440000000000218e-01,1.642269999999999897e+01
2.934300000000000241e-01,1.310430000000000028e+01
2.994550000000000267e-01,9.811980000000000146e+00
3.056240000000000068e-01,7.449060000000000237e+00
3.119390000000000218e-01,5.765710000000000335e+00
3.184049999999999936e-01,4.377600000000000158e+00
3.250239999999999796e-01,3.070730000000000182e+00
3.318010000000000126e-01,1.752809999999999979e+00
3.387379999999999836e-01,5.124049999999999994e-01
3.458410000000000095e-01,3.078569999999999918e-02
3.531130000000000102e-01,7.997879999999999530e-04
3.605570000000000164e-01,1.495460000000000078e-05
3.681780000000000053e-01,2.020849999999999994e-07
3.759810000000000096e-01,1.923429999999999840e-09
3.839690000000000047e-01,1.256700000000000007e-11
3.921470000000000233e-01,5.496669999999999918e-14
4.005199999999999871e-01,1.928650000000000041e-16
4.090909999999999824e-01,0.000000000000000000e+00
4.178660000000000152e-01,0.000000000000000000e+00
4.268500000000000072e-01,0.000000000000000000e+00
4.360479999999999912e-01,0.000000000000000000e+00
4.454640000000000266e-01,0.000000000000000000e+00
4.551040000000000085e-01,0.000000000000000000e+00
4.649730000000000252e-01,0.000000000000000000e+00
4.750770000000000270e-01,0.000000000000000000e+00
4.854209999999999914e-01,0.000000000000000000e+00
4.960109999999999797e-01,0.000000000000000000e+00
5.068529999999999980e-01,0.000000000000000000e+00
5.179519999999999680e-01,0.000000000000000000e+00
5.293160000000000087e-01,0.000000000000000000e+00
5.409490000000000132e-01,0.000000000000000000e+00
5.528589999999999893e-01,0.000000000000000000e+00
5.650530000000000275e-01,0.000000000000000000e+00
5.775360000000000493e-01,0.000000000000000000e+00
5.903159999999999519e-01,0.000000000000000000e+00
6.034000000000000474e-01,0.000000000000000000e+00
6.167949999999999822e-01,0.000000000000000000e+00
6.305079999999999574e-01,0.000000000000000000e+00
6.445469999999999811e-01,0.000000000000000000e+00
6.589209999999999789e-01,0.000000000000000000e+00
6.736349999999999838e-01,0.000000000000000000e+00
6.886999999999999789e-01,0.000000000000000000e+00
7.041230000000000544e-01,0.000000000000000000e+00
7.199130000000000251e-01,0.000000000000000000e+00
7.360780000000000101e-01,0.000000000000000000e+00
7.526270000000000460e-01,0.000000000000000000e+00
7.695699999999999763e-01,0.000000000000000000e+00
7.869150000000000311e-01,0.000000000000000000e+00
8.046729999999999716e-01,0.000000000000000000e+00
8.228529999999999456e-01,0.000000000000000000e+00
8.414660000000000473e-01,0.000000000000000000e+00
8.605199999999999516e-01,0.000000000000000000e+00
8.800280000000000324e-01,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00
9.200970000000000537e-01,0.000000000000000000e+00
9.404219999999999802e-01,0.000000000000000000e+00
9.609779999999999989e-01,0.000000000000000000e+00
9.817690000000000028e-01,0.000000000000000000e+00
1.002799999999999914e+00,0.000000000000000000e+00
1.024059999999999970e+00,0.000000000000000000e+00
1.045570000000000110e+00,0.000000000000000000e+00
1.067320000000000046e+00,0.000000000000000000e+00
1.089320000000000066e+00,0.000000000000000000e+00
1.111569999999999947e+00,0.000000000000000000e+00
1.134079999999999977e+00,0.000000000000000000e+00
1.156840000000000090e+00,0.000000000000000000e+00
1.179850000000000065e+00,0.000000000000000000e+00
1.203130000000000033e+00,0.000000000000000000e+00
1.226679999999999993e+00,0.000000000000000000e+00
1.250490000000000101e+00,0.000000000000000000e+00
1.274580000000000046e+00,0.000000000000000000e+00
1.298929999999999918e+00,0.000000000000000000e+00
1.323569999999999913e+00,0.000000000000000000e+00
1.348479999999999901e+00,0.000000000000000000e+00
1.373680000000000012e+00,0.000000000000000000e+00
1.399170000000000025e+00,0.000000000000000000e+00
1.424940000000000095e+00,0.000000000000000000e+00
1.451009999999999911e+00,0.000000000000000000e+00
1.477379999999999916e+00,0.000000000000000000e+00
1.504040000000000044e+00,0.000000000000000000e+00
1.531009999999999982e+00,0.000000000000000000e+00
1.558289999999999953e+00,0.000000000000000000e+00
1.585869999999999891e+00,0.000000000000000000e+00
1.613769999999999927e+00,0.000000000000000000e+00
1.641990000000000061e+00,0.000000000000000000e+00
1.670530000000000070e+00,0.000000000000000000e+00
1.699389999999999956e+00,0.000000000000000000e+00
1.728580000000000005e+00,0.000000000000000000e+00
1.758099999999999996e+00,0.000000000000000000e+00
1.787959999999999994e+00,0.000000000000000000e+00
1.818159999999999998e+00,0.000000000000000000e+00
1.848700000000000010e+00,0.000000000000000000e+00
1.879590000000000094e+00,0.000000000000000000e+00
1.910830000000000028e+00,0.000000000000000000e+00
1.942430000000000101e+00,0.000000000000000000e+00
1.974380000000000024e+00,0.000000000000000000e+00
2.006699999999999928e+00,0.000000000000000000e+00
2.039390000000000036e+00,0.000000000000000000e+00
2.072449999999999903e+00,0.000000000000000000e+00
2.105879999999999974e+00,0.000000000000000000e+00
2.139699999999999935e+00,0.000000000000000000e+00
2.173900000000000166e+00,0.000000000000000000e+00
2.208489999999999842e+00,0.000000000000000000e+00
2.243469999999999853e+00,0.000000000000000000e+00
2.278849999999999820e+00,0.000000000000000000e+00
2.314630000000000187e+00,0.000000000000000000e+00
2.350820000000000132e+00,0.000000000000000000e+00
2.387430000000000163e+00,0.000000000000000000e+00
2.424440000000000150e+00,0.000000000000000000e+00
2.461879999999999846e+00,0.000000000000000000e+00
2.499750000000000139e+00,0.000000000000000000e+00
2.538040000000000074e+00,0.000000000000000000e+00
2.576779999999999848e+00,0.000000000000000000e+00
2.615950000000000220e+00,0.000000000000000000e+00
2.655569999999999986e+00,0.000000000000000000e+00
2.695640000000000036e+00,0.000000000000000000e+00
2.736159999999999926e+00,0.000000000000000000e+00
2.777149999999999785e+00,0.000000000000000000e+00
2.818599999999999994e+00,0.000000000000000000e+00
2.860520000000000174e+00,0.000000000000000000e+00
2.902919999999999945e+00,0.000000000000000000e+00
2.945800000000000196e+00,0.000000000000000000e+00
2.989170000000000105e+00,0.000000000000000000e+00
3.033040000000000180e+00,0.000000000000000000e+00
3.077399999999999913e+00,0.000000000000000000e+00
3.122269999999999879e+00,0.000000000000000000e+00
3.167650000000000077e+00,0.000000000000000000e+00
3.213540000000000063e+00,0.000000000000000000e+00
3.259959999999999969e+00,0.000000000000000000e+00
3.306900000000000173e+00,0.000000000000000000e+00
3.354379999999999917e+00,0.000000000000000000e+00
3.402400000000000091e+00,0.000000000000000000e+00
3.450959999999999805e+00,0.000000000000000000e+00
3.500080000000000080e+00,0.000000000000000000e+00
3.549760000000000026e+00,0.000000000000000000e+00
3.600000000000000089e+00,0.000000000000000000e+00
3.641669999999999963e+00,0.000000000000000000e+00
3.683330000000000215e+00,0.000000000000000000e+00
3.725000000000000089e+00,0.000000000000000000e+00
