{   Distance	     Value	 Material }
{ -1.25000e+00	 5.97427e+02	 GaN }
{ -1.20083e+00	 2.84568e+02	 GaN }
{ -1.15273e+00	 8.81426e+02	 GaN }
{ -1.10569e+00	 1.17906e+04	 GaN }
{ -1.05969e+00	 3.72762e+04	 GaN }
{ -1.01470e+00	 2.63091e+03	 GaN }
{ -9.70692e-01	 3.51568e+03	 GaN }
{ -9.27653e-01	 1.46489e+03	 GaN }
{ -8.85559e-01	 6.85275e+02	 GaN }
{ -8.44390e-01	 1.34458e+02	 GaN }
{ -8.04126e-01	 1.78582e+02	 GaN }
{ -7.64745e-01	 9.50810e+01	 GaN }
{ -7.26230e-01	 5.09997e+01	 GaN }
{ -6.88561e-01	 2.69470e+01	 GaN }
{ -6.51719e-01	 1.33115e+01	 GaN }
{ -6.15686e-01	 5.12332e+00	 GaN }
{ -5.80445e-01	 5.27949e+00	 GaN }
{ -5.45978e-01	 4.49822e+00	 GaN }
{ -5.12268e-01	 8.49687e+00	 GaN }
{ -4.79298e-01	 1.31554e+01	 GaN }
{ -4.47053e-01	 1.94384e+01	 GaN }
{ -4.15516e-01	 4.24513e+01	 GaN }
{ -3.84671e-01	 4.15617e+01	 GaN }
{ -3.54504e-01	 7.57114e+01	 GaN }
{ -3.25000e-01	 6.96502e+01	 GaN }
{ -2.95331e-01	 5.32238e+01	 GaN }
{ -2.68749e-01	 1.96424e+00	 GaN }
{ -2.44932e-01	 1.19945e+01	 GaN }
{ -2.23593e-01	 2.41620e+01	 GaN }
{ -2.04475e-01	 2.71041e+01	 GaN }
{ -1.87345e-01	 5.38374e+01	 GaN }
{ -1.71998e-01	 1.86834e+02	 GaN }
{ -1.58248e-01	 1.89328e+02	 GaN }
{ -1.45928e-01	 3.17053e+02	 GaN }
{ -1.34890e-01	 4.63222e+02	 GaN }
{ -1.25000e-01	 5.48017e+02	 GaN }
{ -1.15109e-01	 3.03667e+02	 GaN }
{ -1.05419e-01	 6.78748e+01	 GaN }
{ -9.59231e-02	 7.84787e+01	 GaN }
{ -8.66194e-02	 4.09883e+01	 GaN }
{ -7.75033e-02	 7.23404e+00	 GaN }
{ -6.85713e-02	 9.34913e+00	 GaN }
{ -5.98195e-02	 3.32320e-01	 GaN }
{ -5.12443e-02	 1.07586e+01	 GaN }
{ -4.28422e-02	 2.55744e+01	 GaN }
{ -3.46096e-02	 5.19729e+01	 GaN }
{ -2.65432e-02	 1.08231e+02	 GaN }
{ -1.86395e-02	 2.44377e+02	 GaN }
{ -1.08953e-02	 1.47082e+03	 GaN }
