{   Distance	     Value	 Material }
{ -1.25000e+00	 5.98110e+02	 GaN }
{ -1.20083e+00	 2.85052e+02	 GaN }
{ -1.15273e+00	 8.81527e+02	 GaN }
{ -1.10569e+00	 1.17910e+04	 GaN }
{ -1.05969e+00	 3.72682e+04	 GaN }
{ -1.01470e+00	 2.61973e+03	 GaN }
{ -9.70692e-01	 3.50467e+03	 GaN }
{ -9.27653e-01	 1.45840e+03	 GaN }
{ -8.85559e-01	 6.81166e+02	 GaN }
{ -8.44390e-01	 1.31655e+02	 GaN }
{ -8.04126e-01	 1.75781e+02	 GaN }
{ -7.64745e-01	 9.22325e+01	 GaN }
{ -7.26230e-01	 4.79408e+01	 GaN }
{ -6.88561e-01	 2.36158e+01	 GaN }
{ -6.51719e-01	 9.71402e+00	 GaN }
{ -6.15686e-01	 1.32758e+00	 GaN }
{ -5.80445e-01	 9.01728e+00	 GaN }
{ -5.45978e-01	 8.13506e+00	 GaN }
{ -5.12268e-01	 1.14631e+01	 GaN }
{ -4.79298e-01	 1.46544e+01	 GaN }
{ -4.47053e-01	 1.80945e+01	 GaN }
{ -4.15516e-01	 2.73491e+01	 GaN }
{ -3.84671e-01	 2.66116e+01	 GaN }
{ -3.54504e-01	 4.22052e+01	 GaN }
{ -3.25000e-01	 3.76281e+01	 GaN }
{ -2.95331e-01	 7.03703e+01	 GaN }
{ -2.68749e-01	 5.34243e+00	 GaN }
{ -2.44932e-01	 1.06737e+01	 GaN }
{ -2.23593e-01	 2.34908e+01	 GaN }
{ -2.04475e-01	 2.63183e+01	 GaN }
{ -1.87345e-01	 5.33721e+01	 GaN }
{ -1.71998e-01	 1.86665e+02	 GaN }
{ -1.58248e-01	 1.89114e+02	 GaN }
{ -1.45928e-01	 3.16892e+02	 GaN }
{ -1.34890e-01	 4.63096e+02	 GaN }
{ -1.25000e-01	 5.47915e+02	 GaN }
{ -1.15109e-01	 3.03584e+02	 GaN }
{ -1.05419e-01	 6.78316e+01	 GaN }
{ -9.59231e-02	 7.84211e+01	 GaN }
{ -8.66194e-02	 4.09396e+01	 GaN }
{ -7.75033e-02	 7.20739e+00	 GaN }
{ -6.85713e-02	 9.31350e+00	 GaN }
{ -5.98195e-02	 3.62997e-01	 GaN }
{ -5.12443e-02	 1.07851e+01	 GaN }
{ -4.28422e-02	 2.55973e+01	 GaN }
{ -3.46096e-02	 5.19928e+01	 GaN }
