{   Distance	     Value	 Material }
{ -1.22500e+00	 1.57108e+04	 AlGaN }
{ -1.17470e+00	 1.57108e+04	 AlGaN }
{ -1.12541e+00	 3.34592e+01	 AlGaN }
{ -1.07712e+00	 9.51554e+03	 AlGaN }
{ -1.02981e+00	 1.69327e+04	 AlGaN }
{ -9.83459e-01	 1.17059e+03	 AlGaN }
{ -9.38042e-01	 3.58928e+02	 AlGaN }
{ -8.93544e-01	 1.80350e+02	 AlGaN }
{ -8.49946e-01	 1.18784e+02	 AlGaN }
{ -8.07229e-01	 9.56757e+01	 AlGaN }
{ -7.65377e-01	 9.13803e+01	 AlGaN }
{ -7.24371e-01	 9.59813e+01	 AlGaN }
{ -6.84194e-01	 1.07250e+02	 AlGaN }
{ -6.44830e-01	 1.24458e+02	 AlGaN }
{ -6.06262e-01	 1.48144e+02	 AlGaN }
{ -5.68474e-01	 1.79873e+02	 AlGaN }
{ -5.31451e-01	 2.22323e+02	 AlGaN }
{ -4.95176e-01	 2.79620e+02	 AlGaN }
{ -4.59635e-01	 3.57927e+02	 AlGaN }
{ -4.24813e-01	 4.66315e+02	 AlGaN }
{ -3.90695e-01	 6.17870e+02	 AlGaN }
{ -3.57267e-01	 8.30713e+02	 AlGaN }
{ -3.24515e-01	 1.12780e+03	 AlGaN }
{ -2.92426e-01	 1.53322e+03	 AlGaN }
{ -2.60986e-01	 2.06485e+03	 AlGaN }
{ -2.30181e-01	 2.75083e+03	 AlGaN }
{ -2.00000e-01	 3.71155e+03	 AlGaN }
{ -1.67837e-01	 8.35059e+03	 AlGaN }
{ -1.43399e-01	 3.81644e+04	 AlGaN }
{ -1.24830e-01	 2.37053e+05	 AlGaN }
{ -1.10721e-01	 3.65581e+05	 AlGaN }
{ -1.00000e-01	 3.64418e+05	 AlGaN }
{ -9.00481e-02	 2.14839e+05	 AlGaN }
{ -8.05441e-02	 1.20814e+05	 AlGaN }
{ -7.14679e-02	 7.25915e+04	 AlGaN }
{ -6.28002e-02	 4.71188e+04	 AlGaN }
{ -5.45226e-02	 3.24842e+04	 AlGaN }
{ -4.66175e-02	 2.33297e+04	 AlGaN }
{ -3.90683e-02	 1.71599e+04	 AlGaN }
{ -3.18588e-02	 1.27227e+04	 AlGaN }
{ -2.49737e-02	 9.33809e+03	 AlGaN }
{ -1.83986e-02	 6.60835e+03	 AlGaN }
{ -1.21194e-02	 4.29338e+03	 AlGaN }
{ -6.12278e-03	 2.28868e+03	 AlGaN }
{ -3.96074e-04	 7.04612e+02	 AlGaN }
{  5.07289e-03	 7.00585e+02	 AlGaN }
{  1.02957e-02	 2.14700e+03	 AlGaN }
{  1.52835e-02	 3.81530e+03	 AlGaN }
{  2.00467e-02	 5.54341e+03	 AlGaN }
{  2.45956e-02	 7.31676e+03	 AlGaN }
{  2.89398e-02	 9.16273e+03	 AlGaN }
{  3.30884e-02	 1.11158e+04	 AlGaN }
{  3.70503e-02	 1.32097e+04	 AlGaN }
{  4.08339e-02	 1.54773e+04	 AlGaN }
{  4.44472e-02	 1.79514e+04	 AlGaN }
{  4.78979e-02	 2.06663e+04	 AlGaN }
{  5.11933e-02	 2.36584e+04	 AlGaN }
{  5.43404e-02	 2.69669e+04	 AlGaN }
{  5.73458e-02	 3.06346e+04	 AlGaN }
{  6.02159e-02	 3.47081e+04	 AlGaN }
{  6.29569e-02	 3.92384e+04	 AlGaN }
{  6.55745e-02	 4.42806e+04	 AlGaN }
{  6.80743e-02	 4.98940e+04	 AlGaN }
{  7.04616e-02	 5.61416e+04	 AlGaN }
{  7.27414e-02	 6.30888e+04	 AlGaN }
{  7.49187e-02	 7.08012e+04	 AlGaN }
{  7.69979e-02	 7.93426e+04	 AlGaN }
{  7.89836e-02	 8.87699e+04	 AlGaN }
{  8.08799e-02	 9.91287e+04	 AlGaN }
{  8.26908e-02	 1.10446e+05	 AlGaN }
{  8.44203e-02	 1.22723e+05	 AlGaN }
{  8.60719e-02	 1.35928e+05	 AlGaN }
{  8.76491e-02	 1.49988e+05	 AlGaN }
{  8.91554e-02	 1.64787e+05	 AlGaN }
{  9.05939e-02	 1.80162e+05	 AlGaN }
{  9.19676e-02	 1.95912e+05	 AlGaN }
{  9.32795e-02	 2.11804e+05	 AlGaN }
{  9.45324e-02	 2.27590e+05	 AlGaN }
{  9.57289e-02	 2.43021e+05	 AlGaN }
{  9.68715e-02	 2.57868e+05	 AlGaN }
{  9.79627e-02	 2.71933e+05	 AlGaN }
{  9.90048e-02	 2.85059e+05	 AlGaN }
{  1.00000e-01	 2.97136e+05	 AlGaN }
{  1.01002e-01	 3.08398e+05	 AlGaN }
{  1.02032e-01	 3.19113e+05	 AlGaN }
{  1.03091e-01	 3.29199e+05	 AlGaN }
{  1.04179e-01	 3.38465e+05	 AlGaN }
{  1.05297e-01	 3.46726e+05	 AlGaN }
{  1.06446e-01	 3.53811e+05	 AlGaN }
{  1.07626e-01	 3.59575e+05	 AlGaN }
{  1.08840e-01	 3.63903e+05	 AlGaN }
{  1.10086e-01	 3.66710e+05	 AlGaN }
{  1.11368e-01	 3.67947e+05	 AlGaN }
{  1.12685e-01	 3.67597e+05	 AlGaN }
{  1.14038e-01	 3.65673e+05	 AlGaN }
{  1.15428e-01	 3.62212e+05	 AlGaN }
{  1.16857e-01	 3.57270e+05	 AlGaN }
{  1.18326e-01	 3.50916e+05	 AlGaN }
{  1.19835e-01	 3.43228e+05	 AlGaN }
{  1.21386e-01	 3.34282e+05	 AlGaN }
{  1.22980e-01	 3.24153e+05	 AlGaN }
{  1.24618e-01	 3.12907e+05	 AlGaN }
{  1.26301e-01	 3.00596e+05	 AlGaN }
{  1.28030e-01	 2.87254e+05	 AlGaN }
{  1.29808e-01	 2.72887e+05	 AlGaN }
{  1.31635e-01	 2.57465e+05	 AlGaN }
{  1.33512e-01	 2.40899e+05	 AlGaN }
{  1.35441e-01	 2.23002e+05	 AlGaN }
{  1.37423e-01	 2.03419e+05	 AlGaN }
