{   Distance	     Value	 Material }
{ -1.95000e+00	 1.57375e+04	 AlGaN }
{ -1.90000e+00	 1.57375e+04	 AlGaN }
{ -1.85000e+00	 1.71490e+01	 AlGaN }
{ -1.80000e+00	 2.20025e-02	 AlGaN }
{ -1.75000e+00	 1.23540e-03	 AlGaN }
{ -1.70000e+00	 1.89647e-03	 AlGaN }
{ -1.65000e+00	 2.56659e-03	 AlGaN }
{ -1.60000e+00	 3.30707e-03	 AlGaN }
{ -1.55000e+00	 4.16619e-03	 AlGaN }
{ -1.50000e+00	 5.18599e-03	 AlGaN }
{ -1.45000e+00	 6.41264e-03	 AlGaN }
{ -1.40000e+00	 7.90205e-03	 AlGaN }
{ -1.35000e+00	 9.72549e-03	 AlGaN }
{ -1.30000e+00	 1.19775e-02	 AlGaN }
{ -1.25000e+00	 1.47885e-02	 AlGaN }
{ -1.20000e+00	 1.83477e-02	 AlGaN }
{ -1.15000e+00	 2.29444e-02	 AlGaN }
{ -1.10000e+00	 2.90527e-02	 AlGaN }
{ -1.05000e+00	 3.75188e-02	 AlGaN }
{ -1.00000e+00	 5.00392e-02	 AlGaN }
{ -9.50000e-01	 7.09823e-02	 AlGaN }
{ -9.00000e-01	 3.09523e-01	 AlGaN }
{ -8.50000e-01	 1.86345e+02	 AlGaN }
{ -8.02781e-01	 2.56595e+04	 AlGaN }
{ -7.66672e-01	 4.30132e+03	 AlGaN }
{ -7.39058e-01	 1.69806e+03	 AlGaN }
{ -7.17942e-01	 1.86408e+03	 AlGaN }
{ -7.01793e-01	 2.41393e+03	 AlGaN }
{ -6.89444e-01	 3.09699e+03	 AlGaN }
{ -6.80000e-01	 2.03968e+03	 AlGaN }
{ -6.70000e-01	 5.74722e+03	 AlGaN }
{ -6.60000e-01	 7.74260e+03	 AlGaN }
{ -6.50000e-01	 1.17884e+04	 AlGaN }
{ -6.40000e-01	 2.05823e+04	 AlGaN }
{ -6.30000e-01	 4.70222e+04	 AlGaN }
{ -6.20000e-01	 1.62750e+05	 AlGaN }
{ -6.10000e-01	 3.47247e+05	 AlGaN }
{ -6.00000e-01	 4.15193e+05	 AlGaN }
{ -5.90113e-01	 2.70540e+05	 AlGaN }
{ -5.79971e-01	 1.52064e+05	 AlGaN }
{ -5.69568e-01	 8.70378e+04	 AlGaN }
{ -5.58897e-01	 5.32555e+04	 AlGaN }
{ -5.47950e-01	 3.48552e+04	 AlGaN }
{ -5.36722e-01	 2.41216e+04	 AlGaN }
{ -5.25203e-01	 1.74454e+04	 AlGaN }
{ -5.13388e-01	 1.30619e+04	 AlGaN }
{ -5.01269e-01	 1.00527e+04	 AlGaN }
{ -4.88837e-01	 7.90980e+03	 AlGaN }
{ -4.76084e-01	 6.33666e+03	 AlGaN }
{ -4.63003e-01	 5.15193e+03	 AlGaN }
{ -4.49584e-01	 4.24018e+03	 AlGaN }
{ -4.35820e-01	 3.52540e+03	 AlGaN }
{ -4.21700e-01	 2.95598e+03	 AlGaN }
{ -4.07217e-01	 2.49599e+03	 AlGaN }
{ -3.92360e-01	 2.11984e+03	 AlGaN }
{ -3.77121e-01	 1.80892e+03	 AlGaN }
{ -3.61488e-01	 1.54945e+03	 AlGaN }
{ -3.45452e-01	 1.33106e+03	 AlGaN }
{ -3.29004e-01	 1.14584e+03	 AlGaN }
{ -3.12131e-01	 9.87647e+02	 AlGaN }
{ -2.94823e-01	 8.51671e+02	 AlGaN }
{ -2.77069e-01	 7.34072e+02	 AlGaN }
{ -2.58857e-01	 6.31748e+02	 AlGaN }
{ -2.40175e-01	 5.42135e+02	 AlGaN }
{ -2.21013e-01	 4.63053e+02	 AlGaN }
{ -2.01356e-01	 3.92556e+02	 AlGaN }
{ -1.81192e-01	 3.28760e+02	 AlGaN }
{ -1.60509e-01	 2.69561e+02	 AlGaN }
{ -1.39292e-01	 2.12083e+02	 AlGaN }
{ -1.17528e-01	 1.51258e+02	 AlGaN }
{ -9.52039e-02	 7.55906e+01	 AlGaN }
{ -7.23037e-02	 4.84091e+01	 AlGaN }
{ -4.88133e-02	 3.47134e+02	 AlGaN }
{ -2.47172e-02	 1.42069e+03	 AlGaN }
{  0.00000e+00	 5.66684e+03	 AlGaN }
{  2.50371e-02	 5.68523e+03	 AlGaN }
{  4.92313e-02	 1.43347e+03	 AlGaN }
{  7.26110e-02	 3.71833e+02	 AlGaN }
{  9.52037e-02	 7.74589e+01	 AlGaN }
{  1.17036e-01	 4.36173e+01	 AlGaN }
{  1.38133e-01	 1.15900e+02	 AlGaN }
{  1.58520e-01	 1.72329e+02	 AlGaN }
{  1.78221e-01	 2.24114e+02	 AlGaN }
{  1.97258e-01	 2.76044e+02	 AlGaN }
{  2.15655e-01	 3.30658e+02	 AlGaN }
{  2.33432e-01	 3.89624e+02	 AlGaN }
{  2.50611e-01	 4.54267e+02	 AlGaN }
{  2.67212e-01	 5.25805e+02	 AlGaN }
{  2.83253e-01	 6.05474e+02	 AlGaN }
{  2.98755e-01	 6.94605e+02	 AlGaN }
{  3.13735e-01	 7.94686e+02	 AlGaN }
{  3.28210e-01	 9.07418e+02	 AlGaN }
{  3.42199e-01	 1.03477e+03	 AlGaN }
{  3.55716e-01	 1.17906e+03	 AlGaN }
{  3.68779e-01	 1.34301e+03	 AlGaN }
{  3.81401e-01	 1.52987e+03	 AlGaN }
{  3.93599e-01	 1.74354e+03	 AlGaN }
{  4.05386e-01	 1.98871e+03	 AlGaN }
{  4.16776e-01	 2.27108e+03	 AlGaN }
{  4.27783e-01	 2.59760e+03	 AlGaN }
