{   Distance	     Value	 Material }
{ -1.22500e+00	 1.57113e+04	 AlGaN }
{ -1.17470e+00	 1.57113e+04	 AlGaN }
{ -1.12541e+00	 3.35170e+01	 AlGaN }
{ -1.07712e+00	 9.53170e+03	 AlGaN }
{ -1.02981e+00	 1.82972e+04	 AlGaN }
{ -9.83459e-01	 1.35278e+03	 AlGaN }
{ -9.38042e-01	 4.19925e+02	 AlGaN }
{ -8.93544e-01	 2.31409e+02	 AlGaN }
{ -8.49946e-01	 1.76298e+02	 AlGaN }
{ -8.07229e-01	 1.62827e+02	 AlGaN }
{ -7.65377e-01	 1.66424e+02	 AlGaN }
{ -7.24371e-01	 1.78686e+02	 AlGaN }
{ -6.84194e-01	 1.96506e+02	 AlGaN }
{ -6.44830e-01	 2.18922e+02	 AlGaN }
{ -6.06262e-01	 2.46057e+02	 AlGaN }
{ -5.68474e-01	 2.78768e+02	 AlGaN }
{ -5.31451e-01	 3.18598e+02	 AlGaN }
{ -4.95176e-01	 3.67918e+02	 AlGaN }
{ -4.59635e-01	 4.30215e+02	 AlGaN }
{ -4.24813e-01	 5.10533e+02	 AlGaN }
{ -3.90695e-01	 6.16048e+02	 AlGaN }
{ -3.57267e-01	 7.56639e+02	 AlGaN }
{ -3.24515e-01	 9.45252e+02	 AlGaN }
{ -2.92426e-01	 1.19849e+03	 AlGaN }
{ -2.60986e-01	 1.54337e+03	 AlGaN }
{ -2.30181e-01	 2.06322e+03	 AlGaN }
{ -2.00000e-01	 3.00533e+03	 AlGaN }
{ -1.67837e-01	 7.87576e+03	 AlGaN }
{ -1.43399e-01	 3.86702e+04	 AlGaN }
{ -1.24830e-01	 2.37470e+05	 AlGaN }
{ -1.10721e-01	 3.64562e+05	 AlGaN }
{ -1.00000e-01	 3.63349e+05	 AlGaN }
{ -9.01124e-02	 2.14799e+05	 AlGaN }
{ -8.04755e-02	 1.20442e+05	 AlGaN }
{ -7.10828e-02	 7.15305e+04	 AlGaN }
{ -6.19282e-02	 4.56584e+04	 AlGaN }
{ -5.30056e-02	 3.08293e+04	 AlGaN }
{ -4.43091e-02	 2.15771e+04	 AlGaN }
{ -3.58331e-02	 1.53418e+04	 AlGaN }
{ -2.75718e-02	 1.08321e+04	 AlGaN }
{ -1.95200e-02	 7.33662e+03	 AlGaN }
{ -1.16723e-02	 4.42577e+03	 AlGaN }
{ -4.02340e-03	 1.85091e+03	 AlGaN }
{  3.43159e-03	 3.03952e+02	 AlGaN }
{  1.06976e-02	 1.91823e+03	 AlGaN }
{  1.77795e-02	 4.08870e+03	 AlGaN }
{  2.46819e-02	 6.66052e+03	 AlGaN }
{  3.14093e-02	 9.50328e+03	 AlGaN }
{  3.79663e-02	 1.27523e+04	 AlGaN }
{  4.43570e-02	 1.66180e+04	 AlGaN }
{  5.05858e-02	 2.13757e+04	 AlGaN }
{  5.66567e-02	 2.74040e+04	 AlGaN }
{  6.25737e-02	 3.52494e+04	 AlGaN }
{  6.83408e-02	 4.57268e+04	 AlGaN }
{  7.39616e-02	 6.00728e+04	 AlGaN }
{  7.94401e-02	 8.01544e+04	 AlGaN }
{  8.47796e-02	 1.08656e+05	 AlGaN }
{  8.99839e-02	 1.48862e+05	 AlGaN }
{  9.50562e-02	 2.02964e+05	 AlGaN }
{  1.00000e-01	 2.67282e+05	 AlGaN }
{  1.04941e-01	 3.27357e+05	 AlGaN }
{  1.10057e-01	 3.63472e+05	 AlGaN }
{  1.15353e-01	 3.69733e+05	 AlGaN }
{  1.20835e-01	 3.51537e+05	 AlGaN }
{  1.26511e-01	 3.16927e+05	 AlGaN }
{  1.32387e-01	 2.71599e+05	 AlGaN }
{  1.38471e-01	 2.17142e+05	 AlGaN }
{  1.44769e-01	 1.47521e+05	 AlGaN }
{  1.51289e-01	 7.62471e+04	 AlGaN }
{  1.58039e-01	 3.81972e+04	 AlGaN }
{  1.65027e-01	 2.14137e+04	 AlGaN }
{  1.72261e-01	 1.34039e+04	 AlGaN }
{  1.79750e-01	 9.08323e+03	 AlGaN }
{  1.87504e-01	 6.51279e+03	 AlGaN }
{  1.95531e-01	 4.88069e+03	 AlGaN }
{  2.03841e-01	 3.80463e+03	 AlGaN }
{  2.12444e-01	 3.08447e+03	 AlGaN }
{  2.21351e-01	 2.60562e+03	 AlGaN }
{  2.30572e-01	 2.29719e+03	 AlGaN }
{  2.40118e-01	 2.11540e+03	 AlGaN }
{  2.50000e-01	 2.12711e+03	 AlGaN }
{  2.60003e-01	 1.93848e+03	 AlGaN }
{  2.70165e-01	 1.92580e+03	 AlGaN }
{  2.80488e-01	 1.90874e+03	 AlGaN }
{  2.90975e-01	 1.88478e+03	 AlGaN }
{  3.01629e-01	 1.84573e+03	 AlGaN }
{  3.12452e-01	 1.78824e+03	 AlGaN }
{  3.23447e-01	 1.71280e+03	 AlGaN }
{  3.34616e-01	 1.62229e+03	 AlGaN }
{  3.45963e-01	 1.52077e+03	 AlGaN }
{  3.57489e-01	 1.41256e+03	 AlGaN }
{  3.69199e-01	 1.30158e+03	 AlGaN }
{  3.81095e-01	 1.19116e+03	 AlGaN }
{  3.93180e-01	 1.08381e+03	 AlGaN }
{  4.05456e-01	 9.81360e+02	 AlGaN }
{  4.17928e-01	 8.84986e+02	 AlGaN }
{  4.30597e-01	 7.95362e+02	 AlGaN }
{  4.43468e-01	 7.12772e+02	 AlGaN }
{  4.56543e-01	 6.37215e+02	 AlGaN }
{  4.69825e-01	 5.68498e+02	 AlGaN }
{  4.83319e-01	 5.06300e+02	 AlGaN }
{  4.97027e-01	 4.50228e+02	 AlGaN }
{  5.10952e-01	 3.99852e+02	 AlGaN }
{  5.25098e-01	 3.54732e+02	 AlGaN }
{  5.39470e-01	 3.14435e+02	 AlGaN }
{  5.54069e-01	 2.78550e+02	 AlGaN }
{  5.68900e-01	 2.46689e+02	 AlGaN }
{  5.83967e-01	 2.18493e+02	 AlGaN }
{  5.99273e-01	 1.93634e+02	 AlGaN }
{  6.14821e-01	 1.71815e+02	 AlGaN }
{  6.30617e-01	 1.52768e+02	 AlGaN }
{  6.46664e-01	 1.36253e+02	 AlGaN }
{  6.62965e-01	 1.22056e+02	 AlGaN }
{  6.79525e-01	 1.09987e+02	 AlGaN }
{  6.96348e-01	 9.98786e+01	 AlGaN }
{  7.13439e-01	 9.15818e+01	 AlGaN }
{  7.30800e-01	 8.49631e+01	 AlGaN }
{  7.48438e-01	 7.99008e+01	 AlGaN }
{  7.66355e-01	 7.62803e+01	 AlGaN }
{  7.84557e-01	 7.39890e+01	 AlGaN }
{  8.03048e-01	 7.29103e+01	 AlGaN }
{  8.21832e-01	 7.29204e+01	 AlGaN }
{  8.40915e-01	 7.38913e+01	 AlGaN }
{  8.60300e-01	 7.57455e+01	 AlGaN }
{  8.79994e-01	 7.91634e+01	 AlGaN }
{  9.00000e-01	 1.24220e+02	 AlGaN }
{  9.20097e-01	 5.76412e+01	 AlGaN }
{  9.40422e-01	 8.50762e+01	 AlGaN }
{  9.60978e-01	 8.79789e+01	 AlGaN }
{  9.81769e-01	 8.99517e+01	 AlGaN }
{  1.00280e+00	 9.13401e+01	 AlGaN }
{  1.02406e+00	 9.21257e+01	 AlGaN }
{  1.04557e+00	 9.23028e+01	 AlGaN }
{  1.06732e+00	 9.18975e+01	 AlGaN }
{  1.08932e+00	 9.09617e+01	 AlGaN }
{  1.11157e+00	 8.95630e+01	 AlGaN }
{  1.13408e+00	 8.77765e+01	 AlGaN }
{  1.15684e+00	 8.56774e+01	 AlGaN }
{  1.17985e+00	 8.33363e+01	 AlGaN }
{  1.20313e+00	 8.08164e+01	 AlGaN }
{  1.22668e+00	 7.81723e+01	 AlGaN }
{  1.25049e+00	 7.54495e+01	 AlGaN }
{  1.27458e+00	 7.26855e+01	 AlGaN }
{  1.29893e+00	 6.99101e+01	 AlGaN }
{  1.32357e+00	 6.71470e+01	 AlGaN }
{  1.34848e+00	 6.44144e+01	 AlGaN }
{  1.37368e+00	 6.17262e+01	 AlGaN }
{  1.39917e+00	 5.90929e+01	 AlGaN }
{  1.42494e+00	 5.65224e+01	 AlGaN }
{  1.45101e+00	 5.40201e+01	 AlGaN }
{  1.47738e+00	 5.15900e+01	 AlGaN }
{  1.50404e+00	 4.92347e+01	 AlGaN }
{  1.53101e+00	 4.69558e+01	 AlGaN }
{  1.55829e+00	 4.47541e+01	 AlGaN }
{  1.58587e+00	 4.26298e+01	 AlGaN }
{  1.61377e+00	 4.05826e+01	 AlGaN }
{  1.64199e+00	 3.86120e+01	 AlGaN }
{  1.67053e+00	 3.67169e+01	 AlGaN }
{  1.69939e+00	 3.48964e+01	 AlGaN }
{  1.72858e+00	 3.31490e+01	 AlGaN }
{  1.75810e+00	 3.14735e+01	 AlGaN }
{  1.78796e+00	 2.98683e+01	 AlGaN }
{  1.81816e+00	 2.83318e+01	 AlGaN }
{  1.84870e+00	 2.68624e+01	 AlGaN }
{  1.87959e+00	 2.54580e+01	 AlGaN }
{  1.91083e+00	 2.41156e+01	 AlGaN }
{  1.94243e+00	 2.28193e+01	 AlGaN }
{  1.97438e+00	 2.06721e+01	 AlGaN }
{  2.00670e+00	 2.04437e+01	 AlGaN }
{  2.03939e+00	 1.93613e+01	 AlGaN }
{  2.07245e+00	 1.83187e+01	 AlGaN }
{  2.10588e+00	 1.73284e+01	 AlGaN }
{  2.13970e+00	 1.63903e+01	 AlGaN }
{  2.17390e+00	 1.55033e+01	 AlGaN }
{  2.20849e+00	 1.46659e+01	 AlGaN }
{  2.24347e+00	 1.38768e+01	 AlGaN }
{  2.27885e+00	 1.31347e+01	 AlGaN }
{  2.31463e+00	 1.24384e+01	 AlGaN }
{  2.35082e+00	 1.17868e+01	 AlGaN }
{  2.38743e+00	 1.11786e+01	 AlGaN }
{  2.42444e+00	 1.06129e+01	 AlGaN }
{  2.46188e+00	 1.00888e+01	 AlGaN }
{  2.49975e+00	 9.60553e+00	 AlGaN }
{  2.53804e+00	 9.16231e+00	 AlGaN }
{  2.57678e+00	 8.75864e+00	 AlGaN }
{  2.61595e+00	 8.39412e+00	 AlGaN }
{  2.65557e+00	 8.06859e+00	 AlGaN }
{  2.69564e+00	 7.78212e+00	 AlGaN }
{  2.73616e+00	 7.53512e+00	 AlGaN }
{  2.77715e+00	 7.32852e+00	 AlGaN }
{  2.81860e+00	 7.16392e+00	 AlGaN }
{  2.86052e+00	 7.04409e+00	 AlGaN }
{  2.90292e+00	 6.97363e+00	 AlGaN }
{  2.94580e+00	 6.96037e+00	 AlGaN }
