{   Distance	     Value	 Material }
{ -1.95000e+00	 5.95429e+02	 GaN }
{ -1.90000e+00	 3.65620e+02	 GaN }
{ -1.85000e+00	 3.46516e+00	 GaN }
{ -1.80000e+00	 8.11947e-02	 GaN }
{ -1.75000e+00	 7.71920e-02	 GaN }
{ -1.70000e+00	 1.02274e-01	 GaN }
{ -1.65000e+00	 1.30289e-01	 GaN }
{ -1.60000e+00	 1.61957e-01	 GaN }
{ -1.55000e+00	 1.98461e-01	 GaN }
{ -1.50000e+00	 2.41210e-01	 GaN }
{ -1.45000e+00	 2.91941e-01	 GaN }
{ -1.40000e+00	 3.52836e-01	 GaN }
{ -1.35000e+00	 4.26662e-01	 GaN }
{ -1.30000e+00	 5.16890e-01	 GaN }
{ -1.25000e+00	 6.27728e-01	 GaN }
{ -1.20000e+00	 7.63716e-01	 GaN }
{ -1.15000e+00	 9.27775e-01	 GaN }
{ -1.10000e+00	 1.11349e+00	 GaN }
{ -1.05000e+00	 1.27412e+00	 GaN }
{ -1.00000e+00	 1.17685e+00	 GaN }
{ -9.50000e-01	 9.28954e-01	 GaN }
{ -9.00000e-01	 9.25533e+01	 GaN }
{ -8.50000e-01	 1.46480e+04	 GaN }
{ -8.02781e-01	 2.04351e+04	 GaN }
{ -7.66672e-01	 6.55484e+03	 GaN }
{ -7.39058e-01	 2.68130e+03	 GaN }
{ -7.17942e-01	 2.31196e+03	 GaN }
{ -7.01793e-01	 2.56631e+03	 GaN }
{ -6.89444e-01	 3.11040e+03	 GaN }
{ -6.80000e-01	 3.71160e+03	 GaN }
{ -6.70000e-01	 5.12567e+03	 GaN }
{ -6.60000e-01	 7.20384e+03	 GaN }
{ -6.50000e-01	 1.09708e+04	 GaN }
{ -6.40000e-01	 1.86033e+04	 GaN }
{ -6.30000e-01	 3.59922e+04	 GaN }
{ -6.20000e-01	 7.79676e+04	 GaN }
{ -6.10000e-01	 1.60736e+05	 GaN }
{ -6.00000e-01	 2.13521e+05	 GaN }
{ -5.90113e-01	 1.85693e+05	 GaN }
{ -5.79971e-01	 1.34835e+05	 GaN }
{ -5.69568e-01	 9.19795e+04	 GaN }
{ -5.58897e-01	 6.25835e+04	 GaN }
{ -5.47950e-01	 4.35438e+04	 GaN }
{ -5.36722e-01	 3.12070e+04	 GaN }
{ -5.25203e-01	 2.30299e+04	 GaN }
{ -5.13388e-01	 1.74474e+04	 GaN }
{ -5.01269e-01	 9.95415e+03	 GaN }
{ -4.88837e-01	 1.06813e+04	 GaN }
{ -4.76084e-01	 8.57644e+03	 GaN }
{ -4.63003e-01	 6.98160e+03	 GaN }
{ -4.49584e-01	 4.43488e+03	 GaN }
{ -4.35820e-01	 3.71677e+03	 GaN }
{ -4.21700e-01	 4.01007e+03	 GaN }
{ -4.07217e-01	 2.66371e+03	 GaN }
{ -3.92360e-01	 2.87653e+03	 GaN }
{ -3.77121e-01	 2.45526e+03	 GaN }
{ -3.61488e-01	 2.10391e+03	 GaN }
{ -3.45452e-01	 1.80838e+03	 GaN }
{ -3.29004e-01	 1.55787e+03	 GaN }
{ -3.12131e-01	 1.34398e+03	 GaN }
{ -2.94823e-01	 9.25611e+02	 GaN }
{ -2.77069e-01	 1.00103e+03	 GaN }
{ -2.58857e-01	 6.84776e+02	 GaN }
{ -2.40175e-01	 5.85049e+02	 GaN }
{ -2.21013e-01	 6.32921e+02	 GaN }
{ -2.01356e-01	 5.36219e+02	 GaN }
{ -1.81192e-01	 4.47862e+02	 GaN }
{ -1.60509e-01	 3.64657e+02	 GaN }
{ -1.39292e-01	 2.82096e+02	 GaN }
{ -1.17528e-01	 1.92228e+02	 GaN }
{ -9.52039e-02	 7.78066e+01	 GaN }
{ -7.23037e-02	 1.05920e+02	 GaN }
{ -4.88133e-02	 4.91681e+02	 GaN }
{ -2.47172e-02	 1.46292e+03	 GaN }
{  0.00000e+00	 3.31650e+03	 GaN }
{  2.50371e-02	 3.76301e+03	 GaN }
{  4.92313e-02	 1.54217e+03	 GaN }
{  7.26110e-02	 5.18932e+02	 GaN }
{  9.52037e-02	 1.41092e+02	 GaN }
{  1.17036e-01	 3.12921e+01	 GaN }
{  1.38133e-01	 1.35006e+02	 GaN }
{  1.58520e-01	 2.13816e+02	 GaN }
{  1.78221e-01	 2.84014e+02	 GaN }
{  1.97258e-01	 3.52807e+02	 GaN }
{  2.15655e-01	 5.40979e+02	 GaN }
{  2.33432e-01	 5.00066e+02	 GaN }
{  2.50611e-01	 5.82839e+02	 GaN }
{  2.67212e-01	 6.73993e+02	 GaN }
{  2.83253e-01	 7.75171e+02	 GaN }
{  2.98755e-01	 1.09720e+03	 GaN }
{  3.13735e-01	 1.01477e+03	 GaN }
{  3.28210e-01	 1.42499e+03	 GaN }
{  3.42199e-01	 1.31830e+03	 GaN }
{  3.55716e-01	 1.50068e+03	 GaN }
{  3.68779e-01	 1.70798e+03	 GaN }
{  3.81401e-01	 1.94435e+03	 GaN }
{  3.93599e-01	 2.21477e+03	 GaN }
{  4.05386e-01	 2.52526e+03	 GaN }
{  4.16776e-01	 2.88308e+03	 GaN }
{  4.27783e-01	 3.29709e+03	 GaN }
{  4.38419e-01	 4.67811e+03	 GaN }
{  4.48698e-01	 4.33977e+03	 GaN }
{  4.58630e-01	 4.99859e+03	 GaN }
{  4.68228e-01	 5.77558e+03	 GaN }
{  4.77502e-01	 8.37917e+03	 GaN }
{  4.86465e-01	 7.79714e+03	 GaN }
{  4.95126e-01	 1.14886e+04	 GaN }
{  5.03495e-01	 1.07179e+04	 GaN }
{  5.11583e-01	 1.26680e+04	 GaN }
{  5.19398e-01	 1.50658e+04	 GaN }
{  5.26950e-01	 1.80400e+04	 GaN }
{  5.34248e-01	 2.79976e+04	 GaN }
{  5.41300e-01	 2.64678e+04	 GaN }
{  5.48115e-01	 3.24690e+04	 GaN }
{  5.54701e-01	 4.01907e+04	 GaN }
{  5.61065e-01	 5.01958e+04	 GaN }
{  5.67214e-01	 8.12709e+04	 GaN }
{  5.73157e-01	 8.00737e+04	 GaN }
{  5.78899e-01	 1.01641e+05	 GaN }
{  5.84448e-01	 1.28325e+05	 GaN }
{  5.89811e-01	 1.59274e+05	 GaN }
{  5.94993e-01	 2.00342e+05	 GaN }
{  6.00000e-01	 2.17164e+05	 GaN }
{  6.05021e-01	 2.28930e+05	 GaN }
{  6.10403e-01	 1.65807e+05	 GaN }
{  6.16170e-01	 1.78909e+05	 GaN }
{  6.22352e-01	 1.17344e+05	 GaN }
{  6.28977e-01	 6.51563e+04	 GaN }
{  6.36078e-01	 3.48855e+04	 GaN }
{  6.43689e-01	 1.49574e+04	 GaN }
{  6.51846e-01	 1.16239e+04	 GaN }
{  6.60588e-01	 7.37085e+03	 GaN }
{  6.69958e-01	 4.91776e+03	 GaN }
{  6.80000e-01	 3.44030e+03	 GaN }
{  6.90024e-01	 2.43901e+03	 GaN }
{  7.00300e-01	 1.82672e+03	 GaN }
{  7.10833e-01	 1.40115e+03	 GaN }
{  7.21631e-01	 1.25827e+03	 GaN }
{  7.32699e-01	 1.02455e+03	 GaN }
{  7.44044e-01	 7.04468e+02	 GaN }
{  7.55674e-01	 5.76315e+02	 GaN }
{  7.67595e-01	 4.76927e+02	 GaN }
{  7.79815e-01	 3.98738e+02	 GaN }
{  7.92341e-01	 3.36405e+02	 GaN }
{  8.05181e-01	 2.86095e+02	 GaN }
{  8.18343e-01	 2.45015e+02	 GaN }
{  8.31835e-01	 2.76204e+02	 GaN }
{  8.45665e-01	 2.40748e+02	 GaN }
{  8.59842e-01	 1.59084e+02	 GaN }
{  8.74374e-01	 1.84722e+02	 GaN }
{  8.89270e-01	 1.21749e+02	 GaN }
{  9.04540e-01	 1.43229e+02	 GaN }
{  9.20192e-01	 1.26552e+02	 GaN }
{  9.36237e-01	 1.12094e+02	 GaN }
{  9.52684e-01	 7.38310e+01	 GaN }
{  9.69543e-01	 6.57328e+01	 GaN }
{  9.86824e-01	 5.89504e+01	 GaN }
{  1.00454e+00	 5.35481e+01	 GaN }
{  1.02270e+00	 4.97551e+01	 GaN }
{  1.04131e+00	 4.80219e+01	 GaN }
{  1.06039e+00	 4.90629e+01	 GaN }
{  1.07995e+00	 5.42380e+01	 GaN }
{  1.10000e+00	 7.37546e+01	 GaN }
{  1.11996e+00	 6.37700e+01	 GaN }
{  1.14001e+00	 7.01601e+01	 GaN }
{  1.16014e+00	 6.96290e+01	 GaN }
{  1.18037e+00	 6.59459e+01	 GaN }
{  1.20069e+00	 5.92529e+01	 GaN }
{  1.22110e+00	 5.55373e+01	 GaN }
{  1.24161e+00	 4.87710e+01	 GaN }
{  1.26220e+00	 4.58801e+01	 GaN }
{  1.28289e+00	 4.18138e+01	 GaN }
{  1.30367e+00	 3.82323e+01	 GaN }
{  1.32455e+00	 3.39106e+01	 GaN }
{  1.34552e+00	 3.11861e+01	 GaN }
{  1.36658e+00	 2.98085e+01	 GaN }
{  1.38774e+00	 2.75948e+01	 GaN }
{  1.40899e+00	 2.56072e+01	 GaN }
{  1.43034e+00	 2.38140e+01	 GaN }
{  1.45178e+00	 2.21887e+01	 GaN }
{  1.47333e+00	 2.07094e+01	 GaN }
{  1.49496e+00	 1.93577e+01	 GaN }
{  1.51670e+00	 1.81184e+01	 GaN }
{  1.53853e+00	 1.69783e+01	 GaN }
{  1.56047e+00	 1.49893e+01	 GaN }
{  1.58250e+00	 1.40289e+01	 GaN }
{  1.60463e+00	 1.31409e+01	 GaN }
{  1.62686e+00	 1.32135e+01	 GaN }
{  1.64919e+00	 1.24331e+01	 GaN }
